County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
AR: Saline,24%,34%,7.7,28%,60%,12%,8%,34%,10%,69%,0.07,5.1%,"$70,600",22%,415,10%,83%,41%,79%,86%,91%,,,,
AR: Scott,20%,38%,5.1,39%,46%,19%,21%,37%,14%,44%,0.03,4.5%,"$41,200",27%,33,13%,79%,38%,73%,65%,80%,,,,
AR: Searcy,12%,39%,5.5,36%,21%,20%,15%,37%,13%,45%,0.02,6.4%,"$33,800",19%,10,13%,76%,39%,75%,61%,81%,,,,
AR: Sebastian,24%,33%,6.9,33%,64%,18%,5%,36%,17%,58%,0.16,6.0%,"$48,600",27%,808,15%,82%,18%,59%,79%,84%,,,,
AR: Sevier,38%,39%,6.3,37%,28%,16%,13%,38%,23%,35%,0.09,5.8%,"$45,800",23%,38,15%,73%,37%,67%,78%,76%,,,,
AR: Sharp,26%,39%,5,37%,41%,21%,18%,37%,14%,48%,0.04,7.1%,"$40,400",24%,,14%,81%,27%,79%,61%,83%,,,,
AR: St. Francis,10%,42%,5.4,39%,58%,18%,19%,41%,11%,49%,0.46,7.9%,"$37,800",52%,204,16%,85%,25%,55%,65%,81%,,,,
AR: Stone,13%,39%,5.9,34%,43%,20%,11%,36%,15%,49%,0.06,7.1%,"$36,100",38%,30,15%,78%,36%,74%,50%,79%,,,,
AR: Union,22%,38%,6.6,32%,47%,16%,12%,39%,11%,57%,0.11,8.3%,"$47,900",42%,234,17%,88%,22%,74%,67%,86%,,,,
AR: Van Buren,7%,39%,6.4,34%,38%,19%,7%,37%,14%,39%,0.07,7.1%,"$42,300",18%,47,13%,75%,38%,77%,67%,85%,,,,
AR: Washington,24%,34%,7.5,27%,81%,14%,5%,33%,17%,64%,0.18,4.6%,"$57,700",20%,700,15%,77%,26%,53%,82%,86%,,,,
AR: White,20%,37%,6.7,32%,47%,17%,9%,36%,12%,51%,0.07,6.2%,"$43,800",25%,189,13%,85%,31%,68%,79%,86%,,,,
AR: Woodruff,17%,41%,6.5,37%,45%,21%,3%,38%,11%,50%,0.18,5.8%,"$37,600",45%,11,9%,86%,30%,68%,58%,83%,,,,
