County,Alcohol-Impaired Driving Deaths %,Adult Obesity %,Food Environment Index (0-10),Physically Inactive Adults %,Access to Exercise Opportunities %,Food Insecure %,Limited Access to Healthy Foods %,Insufficient Sleep % (Avg Hours < 7),Uninsured Adults % (Age < 65),Some College % (Adults 25-44),School Segregation Index,Unemployment % (Age >= 16),Median Household Income,Children Single-Parent Households %,Annual Average Violent Crimes,Severe Housing Problems %,Drive Alone to Work %,Drive Alone Long Commute % (Minutes > 30),Homeowners %,Broadband Internet Access %,High School Completion % (Adults >= 25),,,,
AR: Yell,42%,40%,6.9,38%,46%,16%,8%,35%,16%,39%,0.06,5.1%,"$48,700",26%,73,14%,80%,29%,71%,75%,78%,,,,
CA: Alameda,25%,24%,9.1,20%,100%,8%,1%,33%,6%,77%,0.23,8.8%,"$113,500",19%,10242,23%,59%,48%,54%,91%,89%,,,,
CA: Alpine,27%,30%,6.6,24%,76%,13%,17%,35%,10%,52%,0.17,11.2%,"$64,500",35%,5,20%,52%,31%,81%,87%,95%,,,,
CA: Amador,35%,29%,8.8,23%,71%,11%,0%,33%,9%,58%,0.02,9.1%,"$68,100",22%,87,18%,79%,46%,77%,84%,91%,,,,
CA: Butte,28%,32%,7.4,23%,82%,14%,6%,35%,10%,69%,0.09,9.2%,"$54,700",21%,734,23%,75%,24%,59%,88%,90%,,,,
CA: Calaveras,35%,30%,8,21%,64%,12%,6%,32%,9%,59%,0.02,7.6%,"$66,300",24%,146,20%,76%,59%,80%,84%,90%,,,,
CA: Colusa,16%,32%,7,30%,72%,13%,12%,33%,15%,51%,0.12,16.0%,"$59,400",19%,43,18%,80%,32%,63%,80%,73%,,,,
CA: Contra Costa,29%,24%,9.1,22%,98%,8%,3%,33%,8%,72%,0.2,8.9%,"$106,500",19%,3773,20%,66%,52%,67%,93%,90%,,,,
CA: Del Norte,31%,33%,6.3,27%,59%,16%,14%,36%,10%,42%,0.05,9.5%,"$47,400",29%,167,20%,74%,14%,68%,84%,80%,,,,
CA: El Dorado,30%,26%,8.7,19%,83%,9%,4%,30%,7%,70%,0.08,8.3%,"$87,800",15%,399,18%,76%,39%,76%,89%,94%,,,,
CA: Fresno,26%,38%,7.4,29%,80%,15%,5%,38%,13%,57%,0.16,11.3%,"$61,400",27%,5264,27%,78%,25%,54%,83%,77%,,,,
CA: Glenn,22%,32%,7.3,28%,59%,14%,9%,34%,16%,44%,0.12,8.9%,"$57,800",21%,114,21%,78%,32%,58%,74%,74%,,,,
CA: Humboldt,43%,28%,7.5,22%,81%,15%,5%,32%,11%,67%,0.16,8.4%,"$56,100",25%,584,24%,70%,17%,57%,86%,91%,,,,
CA: Imperial,19%,36%,6.3,33%,81%,19%,8%,34%,13%,54%,0.2,22.5%,"$47,600",31%,630,27%,80%,22%,58%,82%,70%,,,,
CA: Inyo,21%,28%,8.1,22%,49%,10%,8%,33%,11%,63%,0.03,7.8%,"$56,000",26%,110,18%,69%,17%,65%,83%,91%,,,,
CA: Kern,32%,36%,7.4,33%,82%,14%,8%,34%,12%,49%,0.21,12.5%,"$58,600",25%,4797,24%,80%,24%,59%,84%,75%,,,,
CA: Kings,35%,35%,7.6,31%,60%,13%,7%,36%,12%,51%,0.12,11.6%,"$60,300",24%,668,22%,77%,30%,54%,83%,74%,,,,
CA: Lake,30%,32%,7.7,27%,84%,15%,2%,35%,11%,54%,0.05,9.6%,"$52,300",27%,343,20%,70%,42%,68%,81%,86%,,,,
CA: Lassen,40%,31%,7.5,26%,44%,12%,9%,35%,6%,38%,0.04,7.1%,"$63,800",24%,183,14%,81%,19%,69%,82%,81%,,,,
CA: Los Angeles,22%,28%,8.6,25%,97%,11%,1%,36%,14%,65%,0.29,12.8%,"$75,600",25%,49549,32%,72%,50%,46%,87%,80%,,,,
CA: Madera,33%,33%,7.9,31%,71%,13%,5%,34%,15%,49%,0.24,10.8%,"$68,700",21%,956,24%,75%,39%,66%,85%,72%,,,,
CA: Marin,26%,23%,9.3,17%,96%,7%,1%,29%,6%,79%,0.16,6.7%,"$127,600",18%,465,22%,63%,45%,64%,93%,94%,,,,
CA: Mariposa,57%,28%,7.8,22%,43%,14%,3%,34%,11%,69%,0.04,10.9%,"$56,900",39%,76,20%,61%,43%,70%,79%,91%,,,,
CA: Mendocino,34%,31%,7.6,25%,65%,14%,6%,33%,13%,58%,0.12,8.9%,"$53,200",29%,559,26%,73%,23%,60%,82%,87%,,,,
CA: Merced,28%,35%,7.3,32%,76%,14%,8%,35%,15%,49%,0.1,12.2%,"$59,000",27%,1487,25%,79%,31%,52%,87%,70%,,,,
CA: Modoc,13%,31%,6.1,26%,29%,16%,17%,34%,14%,51%,0.03,8.5%,"$46,800",25%,45,14%,74%,23%,77%,75%,85%,,,,
CA: Mono,46%,29%,7.5,22%,72%,9%,17%,32%,12%,62%,0.06,11.8%,"$73,200",12%,37,9%,55%,17%,68%,89%,88%,,,,
CA: Monterey,38%,32%,8.4,28%,89%,10%,5%,32%,16%,50%,0.28,10.8%,"$85,000",19%,1828,29%,71%,28%,52%,88%,73%,,,,
CA: Napa,29%,29%,9.1,21%,90%,8%,3%,30%,10%,66%,0.18,8.7%,"$92,100",20%,566,22%,75%,34%,65%,90%,86%,,,,
CA: Nevada,34%,25%,8,19%,68%,10%,9%,30%,8%,74%,0.13,8.0%,"$74,200",19%,260,20%,72%,31%,75%,88%,95%,,,,
CA: Orange,28%,25%,9.1,22%,99%,8%,1%,34%,11%,72%,0.24,8.8%,"$98,800",18%,6766,27%,76%,42%,57%,92%,86%,,,,
CA: Placer,30%,25%,8.8,18%,91%,8%,5%,31%,6%,80%,0.07,7.3%,"$100,700",14%,609,17%,77%,39%,73%,91%,95%,,,,
CA: Plumas,52%,29%,8.1,20%,92%,13%,1%,33%,8%,73%,0.06,10.7%,"$58,500",30%,106,17%,80%,25%,73%,81%,95%,,,,
CA: Riverside,31%,33%,8.4,26%,91%,9%,7%,38%,13%,57%,0.13,9.9%,"$76,400",22%,6854,25%,78%,47%,68%,89%,83%,,,,
CA: Sacramento,26%,28%,8.3,24%,98%,11%,4%,35%,8%,67%,0.13,9.3%,"$73,000",25%,7593,22%,75%,40%,57%,90%,88%,,,,
CA: San Benito,28%,30%,9.2,25%,82%,7%,3%,32%,11%,57%,0.07,9.9%,"$91,200",19%,176,22%,78%,52%,65%,92%,82%,,,,
CA: San Bernardino,25%,33%,8.1,30%,82%,10%,9%,38%,13%,57%,0.16,9.4%,"$66,000",26%,9375,26%,78%,44%,60%,87%,81%,,,,
CA: San Diego,27%,24%,8.8,22%,96%,9%,3%,32%,11%,74%,0.19,9.2%,"$87,100",21%,10772,25%,74%,38%,54%,92%,88%,,,,
CA: San Francisco,7%,16%,8.8,19%,100%,11%,0%,33%,6%,88%,0.19,7.8%,"$121,700",21%,6546,24%,30%,52%,38%,89%,89%,,,,
CA: San Joaquin,30%,32%,8.2,28%,90%,12%,5%,37%,10%,52%,0.13,11.3%,"$70,700",22%,5676,24%,79%,41%,58%,86%,80%,,,,
CA: San Luis Obispo,37%,26%,8.7,21%,84%,9%,4%,30%,8%,70%,0.09,7.7%,"$79,500",18%,1146,21%,73%,24%,63%,89%,92%,,,,
CA: San Mateo,21%,21%,9.5,18%,99%,7%,1%,30%,7%,80%,0.18,6.9%,"$132,400",16%,1598,24%,65%,43%,60%,93%,90%,,,,
CA: Santa Barbara,35%,27%,8.8,24%,93%,9%,3%,31%,15%,63%,0.2,8.0%,"$86,100",23%,1411,29%,68%,20%,52%,90%,82%,,,,
CA: Santa Clara,25%,21%,9.3,20%,98%,7%,1%,32%,7%,80%,0.21,7.0%,"$139,500",16%,5050,23%,71%,44%,56%,93%,89%,,,,
CA: Santa Cruz,31%,29%,8.3,22%,95%,10%,5%,30%,9%,71%,0.28,9.5%,"$93,000",22%,1120,27%,68%,38%,60%,90%,88%,,,,
CA: Shasta,35%,28%,7.3,22%,68%,15%,7%,33%,10%,68%,0.05,8.7%,"$59,100",22%,1304,22%,81%,17%,65%,85%,91%,,,,
CA: Sierra,11%,30%,6.1,23%,7%,12%,25%,33%,8%,68%,0.02,8.0%,"$59,400",46%,13,17%,80%,43%,73%,76%,93%,,,,
CA: Siskiyou,29%,31%,6.5,24%,69%,16%,11%,33%,11%,63%,0.14,9.7%,"$49,400",23%,149,19%,76%,23%,66%,82%,90%,,,,
CA: Solano,31%,31%,8.8,25%,95%,9%,4%,36%,7%,65%,0.1,9.5%,"$83,700",26%,2066,21%,76%,44%,62%,92%,89%,,,,
CA: Sonoma,33%,27%,8.9,19%,91%,9%,3%,30%,9%,68%,0.14,7.0%,"$87,400",21%,1845,23%,74%,31%,61%,91%,89%,,,,
CA: Stanislaus,31%,31%,8.2,31%,92%,12%,3%,34%,11%,54%,0.11,10.7%,"$64,500",22%,3096,23%,81%,37%,59%,87%,80%,,,,
CA: Sutter,30%,29%,7.4,29%,78%,14%,8%,35%,11%,61%,0.12,11.0%,"$65,800",24%,338,19%,78%,35%,59%,85%,80%,,,,
CA: Tehama,39%,35%,6.7,29%,51%,16%,10%,34%,11%,60%,0.1,8.8%,"$61,600",24%,341,23%,82%,32%,66%,80%,86%,,,,
CA: Trinity,35%,30%,7,25%,86%,16%,8%,35%,12%,59%,0.09,8.0%,"$45,100",41%,50,20%,70%,31%,69%,71%,93%,,,,
CA: Tulare,36%,36%,7.3,33%,69%,16%,5%,35%,13%,49%,0.14,13.2%,"$62,100",26%,1756,27%,79%,25%,57%,82%,72%,,,,
CA: Tuolumne,35%,28%,7.8,23%,74%,13%,6%,33%,8%,62%,0.03,10.4%,"$63,300",23%,169,20%,80%,28%,74%,84%,91%,,,,
CA: Ventura,39%,28%,9.1,22%,97%,8%,2%,33%,13%,66%,0.22,8.6%,"$91,000",18%,2042,23%,78%,34%,63%,90%,86%,,,,
CA: Yolo,29%,30%,8.5,24%,94%,11%,3%,31%,8%,72%,0.14,7.5%,"$80,700",21%,698,24%,68%,32%,51%,90%,87%,,,,
CA: Yuba,30%,31%,7.2,25%,76%,13%,11%,35%,10%,63%,0.07,10.5%,"$56,300",22%,307,23%,80%,46%,61%,86%,82%,,,,
CO: Adams,35%,31%,8.7,26%,92%,9%,5%,33%,15%,58%,0.14,8.0%,"$73,600",23%,1825,18%,76%,48%,67%,88%,85%,,,,
CO: Alamosa,29%,29%,6.8,27%,77%,15%,13%,33%,16%,59%,0.04,6.4%,"$50,400",19%,,17%,80%,15%,55%,79%,87%,,,,
CO: Arapahoe,42%,25%,9,20%,97%,8%,2%,30%,11%,72%,0.14,7.9%,"$82,400",23%,2082,16%,75%,42%,64%,92%,92%,,,,
CO: Archuleta,30%,25%,7.8,19%,92%,10%,11%,30%,15%,61%,0.01,7.6%,"$64,000",9%,24,17%,70%,21%,74%,86%,94%,,,,
CO: Baca,15%,31%,6.9,24%,53%,15%,10%,33%,16%,63%,0.05,2.3%,"$42,500",11%,4,11%,80%,14%,71%,75%,86%,,,,
CO: Bent,14%,34%,6.5,30%,81%,19%,5%,35%,13%,26%,0.21,4.4%,"$50,700",20%,8,20%,82%,17%,60%,76%,88%,,,,
CO: Boulder,25%,20%,8.8,15%,94%,9%,3%,27%,8%,84%,0.14,6.2%,"$88,300",19%,698,19%,63%,30%,64%,92%,96%,,,,
CO: Broomfield,59%,25%,8.8,14%,99%,8%,5%,29%,6%,86%,0.03,6.6%,"$106,300",15%,33,13%,73%,43%,66%,94%,97%,,,,
CO: Chaffee,30%,25%,8.5,19%,99%,11%,3%,30%,12%,60%,0.02,6.3%,"$64,200",32%,12,12%,68%,23%,71%,81%,94%,,,,
CO: Cheyenne,9%,27%,8,21%,48%,10%,9%,32%,15%,81%,0.04,2.4%,"$56,400",9%,2,7%,81%,14%,74%,85%,95%,,,,
CO: Clear Creek,40%,23%,8.9,16%,68%,9%,3%,30%,8%,67%,0.03,8.5%,"$79,400",19%,51,11%,69%,54%,78%,86%,97%,,,,
CO: Conejos,67%,32%,7.9,28%,6%,13%,3%,34%,13%,58%,0.11,5.6%,"$39,800",19%,4,17%,68%,43%,80%,70%,88%,,,,
CO: Costilla,14%,33%,1.7,31%,35%,17%,58%,34%,18%,62%,0.02,7.2%,"$35,600",44%,8,21%,66%,31%,74%,75%,85%,,,,
CO: Crowley,57%,32%,7.1,29%,30%,19%,1%,36%,15%,29%,0.01,5.4%,"$36,800",25%,4,14%,78%,30%,73%,78%,87%,,,,
CO: Custer,36%,25%,8.1,18%,92%,11%,6%,31%,13%,71%,,5.0%,"$60,500",20%,6,19%,75%,52%,88%,78%,96%,,,,
CO: Delta,40%,30%,7.7,24%,63%,14%,4%,33%,13%,47%,0.05,6.6%,"$53,600",26%,23,19%,72%,37%,73%,75%,90%,,,,
CO: Denver,33%,22%,8.3,19%,99%,11%,4%,30%,12%,77%,0.21,8.2%,"$75,400",28%,4309,18%,66%,38%,50%,89%,89%,,,,
CO: Dolores,75%,25%,4.7,19%,18%,13%,37%,32%,12%,74%,,6.9%,"$50,800",20%,4,7%,75%,29%,79%,65%,95%,,,,
CO: Douglas,34%,21%,9.5,13%,91%,6%,2%,27%,5%,87%,0.06,5.8%,"$122,300",11%,365,10%,74%,42%,79%,97%,98%,,,,
CO: Eagle,32%,23%,9.1,17%,97%,7%,5%,26%,15%,73%,0.13,9.5%,"$94,300",24%,77,18%,74%,31%,70%,93%,91%,,,,
CO: El Paso,42%,25%,8.2,20%,89%,10%,6%,31%,11%,75%,0.08,7.3%,"$72,500",22%,2697,16%,75%,29%,65%,92%,94%,,,,
CO: Elbert,30%,24%,9,17%,36%,6%,7%,30%,7%,75%,0.03,4.7%,"$107,100",11%,1,12%,79%,70%,91%,92%,96%,,,,
CO: Fremont,27%,28%,6.9,23%,54%,14%,13%,35%,10%,39%,0.02,7.7%,"$52,400",17%,105,14%,79%,25%,76%,83%,89%,,,,
CO: Garfield,42%,24%,8.9,19%,85%,8%,4%,32%,18%,59%,0.04,6.8%,"$80,000",17%,110,18%,68%,42%,68%,89%,89%,,,,
CO: Gilpin,0%,23%,,16%,51%,7%,,29%,4%,81%,0.01,11.3%,"$79,600",22%,16,21%,73%,59%,86%,92%,94%,,,,
CO: Grand ,21%,26%,9.1,18%,73%,9%,0%,31%,12%,62%,0.02,8.4%,"$74,500",12%,11,14%,66%,36%,70%,90%,95%,,,,
CO: Gunnison,31%,24%,8.6,17%,82%,10%,3%,29%,11%,77%,0.08,6.6%,"$68,200",15%,29,19%,58%,17%,65%,87%,98%,,,,
CO: Hinsdale,0%,24%,7.7,17%,39%,14%,4%,30%,13%,84%,,4.2%,"$63,000",35%,2,13%,64%,5%,79%,86%,96%,,,,
CO: Huerfano,16%,29%,6.8,24%,26%,14%,12%,32%,10%,57%,0.08,9.4%,"$49,500",32%,25,13%,69%,27%,73%,70%,93%,,,,
CO: Jackson,40%,26%,8.4,21%,80%,9%,8%,33%,16%,68%,,4.3%,"$55,400",4%,0,11%,53%,38%,72%,79%,88%,,,,
CO: Jefferson,29%,25%,8.9,15%,99%,8%,3%,30%,8%,77%,0.12,7.1%,"$90,100",20%,1434,14%,75%,44%,72%,92%,95%,,,,
CO: Kiowa,20%,28%,5.1,22%,55%,11%,36%,32%,11%,78%,,2.3%,"$49,200",14%,,8%,80%,17%,74%,88%,97%,,,,
CO: Kit Carson,28%,28%,8.1,22%,51%,10%,9%,33%,16%,61%,0.08,2.8%,"$54,600",14%,16,10%,77%,15%,68%,85%,90%,,,,
CO: La Plata,50%,23%,8.7,17%,70%,9%,4%,30%,13%,74%,0.07,6.8%,"$66,100",20%,96,14%,71%,30%,71%,80%,96%,,,,
CO: Lake,0%,28%,6.4,23%,86%,11%,23%,32%,17%,64%,0.01,8.2%,"$61,500",17%,15,13%,67%,64%,77%,80%,89%,,,,
CO: Larimer,33%,24%,8.5,16%,87%,10%,5%,27%,9%,79%,0.06,6.3%,"$80,300",17%,666,17%,73%,29%,66%,91%,96%,,,,
CO: Las Animas,58%,27%,6.8,25%,73%,15%,13%,33%,15%,54%,0.16,7.4%,"$46,300",31%,21,16%,69%,17%,69%,77%,91%,,,,
CO: Lincoln,8%,29%,7.8,24%,54%,12%,8%,33%,11%,21%,0.1,4.5%,"$50,200",19%,6,11%,74%,17%,72%,76%,90%,,,,
CO: Logan,30%,30%,7.9,23%,78%,11%,8%,34%,13%,58%,0.06,4.7%,"$55,700",26%,67,15%,73%,14%,66%,84%,90%,,,,
CO: Mesa,41%,29%,7.5,21%,60%,13%,9%,32%,13%,63%,0.05,7.5%,"$64,100",26%,516,17%,77%,12%,69%,87%,91%,,,,
CO: Mineral,33%,24%,8.5,17%,100%,11%,3%,29%,11%,70%,,5.8%,"$58,000",11%,1,9%,63%,26%,73%,92%,98%,,,,
CO: Moffat,42%,27%,6.9,24%,60%,13%,15%,32%,11%,48%,0.02,6.0%,"$63,100",30%,21,15%,73%,29%,64%,83%,90%,,,,
CO: Montezuma,37%,26%,7.4,21%,73%,14%,7%,34%,16%,59%,0.07,7.1%,"$54,100",26%,42,16%,79%,19%,71%,75%,91%,,,,
CO: Montrose,26%,26%,7.7,22%,64%,12%,8%,29%,15%,58%,0.04,6.6%,"$59,800",19%,53,15%,77%,16%,74%,78%,89%,,,,
CO: Morgan,38%,33%,8.5,25%,72%,10%,5%,32%,17%,49%,0.09,5.4%,"$63,300",22%,56,14%,76%,17%,63%,85%,79%,,,,
CO: Otero,15%,34%,7.2,29%,53%,16%,5%,34%,13%,63%,0.18,6.2%,"$46,200",22%,29,19%,77%,21%,67%,77%,89%,,,,
CO: Ouray,0%,23%,8.8,15%,53%,10%,1%,30%,9%,85%,0.06,8.1%,"$74,500",15%,3,21%,65%,43%,72%,88%,99%,,,,
CO: Park ,20%,25%,8.1,18%,63%,9%,11%,29%,9%,72%,0.03,5.7%,"$77,600",12%,18,12%,69%,68%,91%,90%,98%,,,,
CO: Phillips,0%,27%,9.1,22%,78%,8%,2%,31%,15%,54%,0.14,2.7%,"$57,400",11%,7,13%,72%,21%,72%,75%,88%,,,,
CO: Pitkin,8%,21%,9,15%,93%,9%,2%,28%,11%,82%,0.17,10.5%,"$93,600",26%,11,15%,52%,28%,67%,93%,96%,,,,
CO: Prowers,38%,29%,7.2,26%,64%,12%,13%,32%,18%,58%,0.06,4.4%,"$47,500",21%,7,15%,84%,14%,63%,83%,81%,,,,
CO: Pueblo,34%,31%,6.4,24%,81%,14%,17%,36%,12%,61%,0.09,8.2%,"$50,900",32%,1031,17%,82%,23%,65%,80%,90%,,,,
CO: Rio Blanco,25%,26%,8.5,20%,87%,11%,2%,33%,10%,68%,0.03,5.4%,"$64,000",18%,7,11%,75%,16%,74%,87%,92%,,,,
CO: Rio Grande,0%,28%,7.6,25%,62%,14%,5%,32%,17%,64%,0.09,7.1%,"$51,400",24%,23,17%,82%,19%,69%,66%,88%,,,,
CO: Routt,58%,22%,8.8,16%,75%,9%,2%,29%,10%,79%,0.03,7.9%,"$82,300",15%,38,16%,68%,27%,75%,91%,95%,,,,
CO: Saguache,28%,32%,6.8,26%,20%,13%,16%,33%,21%,40%,0.38,7.0%,"$56,000",27%,11,21%,66%,37%,73%,73%,86%,,,,
CO: San Juan,20%,26%,5.9,18%,100%,10%,29%,31%,13%,76%,,6.7%,"$54,400",13%,1,17%,57%,17%,56%,78%,96%,,,,
CO: San Miguel,57%,23%,8.6,16%,79%,11%,2%,28%,13%,78%,0.03,10.9%,"$77,100",17%,9,27%,54%,25%,60%,83%,97%,,,,
CO: Sedgwick,33%,28%,7.7,24%,,14%,5%,32%,13%,75%,0.06,3.4%,"$43,400",23%,8,14%,71%,22%,68%,79%,89%,,,,
CO: Summit,25%,21%,9.2,16%,100%,8%,1%,30%,13%,71%,0.06,9.8%,"$91,100",14%,53,22%,67%,17%,69%,89%,93%,,,,
CO: Teller,35%,24%,8.7,16%,80%,10%,3%,31%,9%,72%,0.03,7.5%,"$62,800",16%,57,14%,74%,54%,81%,90%,97%,,,,
CO: Washington,32%,27%,7.4,22%,39%,11%,14%,33%,11%,64%,0.08,3.1%,"$59,200",21%,7,12%,71%,35%,70%,82%,92%,,,,
CO: Weld ,29%,28%,8.7,21%,78%,8%,6%,32%,13%,62%,0.16,7.0%,"$77,900",20%,772,14%,78%,42%,75%,88%,87%,,,,
CO: Yuma,14%,25%,8.1,23%,67%,11%,6%,33%,17%,60%,0.07,2.8%,"$82,100",24%,1,13%,74%,16%,70%,79%,86%,,,,
CT: Fairfield,29%,24%,8.7,22%,95%,10%,3%,33%,11%,72%,0.2,7.9%,"$98,800",21%,2219,21%,69%,37%,67%,90%,90%,,,,
CT: Hartford,33%,30%,8.3,24%,93%,11%,4%,35%,7%,71%,0.21,8.1%,"$73,500",28%,2361,17%,79%,29%,64%,86%,90%,,,,
CT: Litchfield,32%,28%,8.5,20%,77%,10%,3%,33%,7%,70%,0.08,6.9%,"$79,500",20%,122,14%,81%,41%,76%,89%,94%,,,,
CT: Middlesex,32%,28%,8.3,21%,86%,10%,6%,33%,5%,76%,0.12,6.5%,"$90,000",22%,117,14%,80%,41%,74%,87%,95%,,,,
CT: New Haven,27%,32%,8,25%,92%,12%,5%,38%,8%,67%,0.23,8.0%,"$72,500",31%,2650,19%,77%,34%,62%,85%,90%,,,,
CT: New London ,34%,31%,7.8,25%,84%,12%,8%,38%,7%,69%,0.14,9.6%,"$77,200",26%,432,15%,79%,29%,67%,89%,93%,,,,
CT: Tolland,33%,27%,8.3,21%,59%,10%,7%,33%,5%,77%,0.09,6.2%,"$87,200",18%,,13%,79%,45%,72%,90%,95%,,,,
CT: Windham,27%,31%,8.1,24%,66%,13%,3%,37%,8%,59%,0.24,7.8%,"$66,300",29%,,14%,82%,40%,68%,86%,89%,,,,
DE: Kent,28%,41%,7.8,31%,51%,12%,6%,39%,10%,61%,0.06,8.6%,"$61,500",34%,777,16%,81%,33%,69%,87%,88%,,,,
DE: New Castle,23%,33%,8.2,27%,94%,11%,6%,37%,8%,65%,0.14,7.7%,"$75,100",28%,3067,14%,77%,34%,68%,89%,92%,,,,
DE: Sussex,26%,35%,8,27%,64%,11%,7%,36%,12%,55%,0.08,7.5%,"$69,800",27%,870,14%,82%,38%,81%,84%,89%,,,,
FL: Alachua,29%,32%,7.5,25%,87%,13%,7%,36%,14%,78%,0.08,5.4%,"$52,000",32%,1455,20%,74%,26%,55%,86%,93%,,,,
FL: Baker,31%,33%,6.8,33%,66%,12%,17%,43%,13%,48%,0.01,4.9%,"$61,500",22%,128,10%,82%,54%,77%,81%,85%,,,,
FL: Bay ,17%,32%,6.9,31%,62%,15%,10%,40%,18%,65%,0.08,6.1%,"$61,300",28%,901,16%,81%,32%,67%,88%,91%,,,,
FL: Bradford,27%,38%,7.6,36%,53%,16%,0%,41%,16%,33%,0.05,5.9%,"$48,300",34%,120,17%,79%,49%,66%,76%,79%,,,,
FL: Brevard,21%,29%,7.3,27%,85%,12%,12%,41%,16%,70%,0.08,6.6%,"$65,900",24%,2807,15%,81%,35%,76%,89%,92%,,,,
FL: Broward,13%,31%,8.7,28%,97%,10%,2%,41%,21%,68%,0.16,8.8%,"$63,900",32%,7570,24%,78%,46%,63%,86%,89%,,,,
FL: Calhoun,21%,36%,5.9,34%,15%,15%,20%,41%,19%,32%,0.09,5.2%,"$44,000",25%,25,13%,78%,41%,78%,72%,78%,,,,
FL: Charlotte,30%,29%,6.8,25%,80%,14%,14%,40%,19%,56%,0.04,7.3%,"$58,400",27%,343,15%,79%,33%,82%,87%,91%,,,,
FL: Citrus,22%,32%,6.3,29%,75%,16%,16%,43%,20%,47%,0.02,8.4%,"$48,600",31%,412,13%,81%,35%,83%,85%,89%,,,,
FL: Clay,27%,33%,7.9,28%,82%,11%,9%,41%,15%,67%,0.08,5.4%,"$72,500",20%,545,13%,79%,59%,77%,92%,92%,,,,
FL: Collier,23%,26%,8.2,25%,92%,10%,7%,34%,25%,53%,0.16,6.9%,"$81,900",26%,931,20%,74%,34%,74%,87%,88%,,,,
FL: Columbia,28%,36%,7.6,33%,64%,14%,4%,42%,17%,50%,0.08,5.8%,"$46,700",25%,390,14%,81%,32%,73%,82%,85%,,,,
FL: DeSoto,40%,37%,7,38%,50%,16%,7%,39%,32%,23%,0.01,5.2%,"$45,800",30%,155,17%,69%,26%,69%,63%,74%,,,,
FL: Dixie,32%,36%,7.2,35%,25%,17%,3%,40%,21%,29%,0.04,5.5%,"$41,500",25%,76,12%,76%,25%,83%,66%,80%,,,,
FL: Duval,27%,34%,7.4,30%,90%,13%,10%,40%,17%,66%,0.15,6.7%,"$55,200",34%,5961,17%,79%,36%,57%,86%,90%,,,,
FL: Escambia,22%,31%,7.1,28%,72%,13%,12%,41%,17%,67%,0.09,6.7%,"$57,100",32%,2060,12%,74%,27%,63%,85%,90%,,,,
FL: Flagler,26%,33%,6.7,26%,80%,12%,18%,39%,18%,61%,0.01,7.6%,"$67,100",26%,254,15%,80%,41%,76%,77%,92%,,,,
FL: Franklin,27%,32%,7.7,33%,57%,16%,1%,40%,21%,33%,0,5.4%,"$47,200",25%,32,14%,81%,24%,76%,80%,81%,,,,
FL: Gadsden,34%,39%,7.9,35%,49%,14%,3%,43%,19%,47%,0.06,6.8%,"$42,700",47%,151,13%,84%,55%,73%,64%,81%,,,,
FL: Gilchrist,47%,34%,7.9,32%,30%,15%,0%,39%,20%,40%,0.02,4.9%,"$52,000",29%,55,11%,78%,48%,83%,70%,87%,,,,
FL: Glades,30%,37%,5.8,37%,10%,14%,24%,40%,30%,34%,0.21,5.6%,"$45,300",21%,32,16%,72%,36%,80%,65%,72%,,,,
FL: Gulf,0%,28%,7.9,31%,48%,14%,2%,41%,16%,47%,0.04,5.9%,"$51,600",25%,63,16%,72%,37%,76%,78%,85%,,,,
FL: Hamilton,31%,38%,6.2,38%,40%,19%,10%,41%,19%,25%,0,7.6%,"$41,900",20%,48,19%,71%,29%,72%,68%,75%,,,,
FL: Hardee,28%,38%,6.6,41%,56%,15%,13%,40%,25%,26%,0.01,6.5%,"$46,300",29%,75,14%,80%,32%,67%,65%,76%,,,,
FL: Hendry,22%,42%,7.1,42%,51%,15%,7%,42%,34%,42%,0.07,8.1%,"$45,700",36%,215,22%,61%,30%,70%,76%,69%,,,,
FL: Hernando,20%,33%,6.9,31%,76%,14%,12%,39%,18%,60%,0.02,8.1%,"$52,100",22%,459,13%,79%,41%,79%,87%,88%,,,,
FL: Highlands,28%,32%,6.1,32%,72%,15%,18%,37%,25%,45%,0.03,7.7%,"$48,900",28%,301,14%,79%,22%,77%,77%,85%,,,,
FL: Hillsborough,26%,30%,7.8,27%,92%,12%,8%,38%,18%,66%,0.14,7.1%,"$65,300",30%,4195,18%,77%,47%,59%,90%,89%,,,,
FL: Holmes,19%,41%,5.5,36%,19%,18%,19%,42%,22%,38%,0.04,5.5%,"$42,000",31%,61,14%,85%,46%,76%,76%,80%,,,,
FL: Indian River,20%,29%,7.2,27%,73%,12%,13%,37%,22%,57%,0.07,7.4%,"$72,900",25%,376,14%,80%,26%,80%,84%,90%,,,,
FL: Jackson,13%,39%,7.3,38%,29%,15%,5%,40%,17%,41%,0.11,5.4%,"$44,100",27%,166,13%,88%,43%,72%,77%,82%,,,,
FL: Jefferson,18%,33%,7.8,32%,43%,13%,6%,39%,17%,43%,0.01,5.6%,"$54,400",35%,123,12%,82%,57%,75%,75%,83%,,,,
FL: Lafayette,22%,37%,8.3,36%,41%,11%,5%,41%,23%,30%,0,4.2%,"$41,600",8%,18,17%,90%,39%,78%,75%,73%,,,,
FL: Lake,29%,32%,7.4,29%,86%,12%,12%,40%,19%,60%,0.06,8.9%,"$58,500",23%,952,14%,79%,49%,75%,88%,90%,,,,
FL: Lee,24%,30%,7.4,27%,88%,12%,12%,37%,21%,55%,0.11,7.3%,"$66,100",26%,2432,17%,78%,43%,73%,87%,89%,,,,
